name,developers,publishers,appid,type,price,positive-ratings,negative-ratings,release-date,genres,tags,platforms
Machizzle,['iNFINITE Production'],['iNFINITE Production'],1301770,game,$0.00,41,3,"Jan 7, 2021","['Casual', 'Indie', 'Simulation', 'Free To Play']","Simulation, Casual, Physics, Puzzle, VR, 3D, Indie, Building, Stylized, Fantasy, Level Editor, Singleplayer, Free to Play",['windows']
Minute of Islands Demo,['Studio Fizbin'],['Assemble Entertainment'],1301790,demo,$0.00,0,0,"Feb 3, 2021",[],,['windows']
GGG Collection - Coindice Simulator,['GGG'],,1301800,dlc,$1.99,0,0,"May 18, 2020","['Indie', 'Simulation']",,"['windows', 'mac', 'linux']"
Anomaly Hunter,['Hook Games'],['Hook Games'],1301820,game,$0.00,0,0,Coming Soon,"['Adventure', 'Casual', 'Indie', 'Strategy']",,['windows']
Shatris: Infinite Puzzles,['Khud0'],['Khud0'],1301830,game,$4.99,22,0,"Dec 18, 2020","['Casual', 'Indie']","Casual, Indie, Puzzle, 2D, Hand-drawn, Colorful, Minimalist, Family Friendly, Logic, Relaxing, Linear, Procedural Generation, Singleplayer","['windows', 'mac', 'linux']"
Maggie the Magnet,['Khud0'],['Khud0'],1301840,game,$4.99,9,0,"Jul 18, 2022","['Casual', 'Indie']","2D Platformer, Casual, Puzzle-Platformer, Puzzle, Platformer, Cute, Indie, Relaxing, Linear, Cartoony, Colorful, Hand-drawn, Stylized, Physics, Cartoon, Singleplayer",['windows']
Meditation VR,['Better Than Life'],['Better Than Life'],1301850,game,$0.00,75,20,"Jul 31, 2020","['Casual', 'Free To Play', 'Indie', 'Early Access']","VR, Relaxing, Immersive, Experience, Realistic, Early Access, Casual, Free to Play, Indie, Experimental, Immersive Sim, Simulation, 3D, 3D Vision, 6DOF, Singleplayer, Multiplayer",['windows']
Farlight Commanders,['Farlight Games Industry'],['Farlight Games Industry'],1301860,game,$9.99,12,3,"Nov 19, 2021","['Action', 'Adventure', 'Indie', 'Simulation']","Side Scroller, Shoot 'Em Up, 2D Platformer, Space, Co-op, Dungeon Crawler, PvE, Space Sim, 2D, Action, Simulation, Sci-fi, Adventure, Futuristic, Online Co-Op, Combat, Multiplayer, Singleplayer, Co-op Campaign, Arcade",['windows']
Erannorth Reborn - Canticum Noctem,['Spyridon Thalassinos'],['Spyridon Thalassinos'],1301870,dlc,$7.99,0,0,"Jul 26, 2020","['Adventure', 'Indie', 'RPG', 'Strategy']",,['windows']
Messticulous,['Visumeca Games'],['Visumeca Games'],1301880,game,$3.99,20,0,"Nov 9, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']","Comedy, Physics, Indie, Funny, Cute, Family Friendly, Puzzle, Stylized, Singleplayer, Mini Golf, Golf, Short, Colorful, Satire, Parody , Simulation, 3D, Relaxing, Psychological Horror, Hidden Object",['windows']
Winner's Break,['致意'],['致意'],1301910,game,$0.00,0,0,Coming Soon,"['Casual', 'RPG', 'Simulation', 'Sports']",,"['windows', 'mac']"
Traffic Jams,['Little Chicken Game Company'],['Vertigo Games'],1301930,game,$9.99,69,17,"Apr 8, 2021","['Action', 'Casual', 'Simulation']","Casual, Simulation, VR, Action, Cartoony, Asymmetric VR, Family Friendly, Arcade, Comedy, PvP, Local Multiplayer, Multiplayer, Singleplayer, Automobile Sim, Life Sim, Sandbox, Colorful, Physics, 4 Player Local, Management",['windows']
Time Loader,['Flazm'],['META Publishing'],1301950,game,$1.59,396,77,"Nov 3, 2021","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'Simulation']","Logic, Story Rich, Investigation, Retro, Old School, Physics, Casual, Drama, Action-Adventure, Relaxing, Puzzle-Platformer, Platformer, Action, Family Friendly, 1990's, Exploration, PvE, Emotional, 3D Platformer, Indie",['windows']
Hentai Collection: Memory,['FlapBox Studios'],['FlapBox Studios'],1301970,game,$3.99,0,0,"Jun 8, 2020","['Casual', 'Indie']",,['windows']
Iteration Factor,['David Cseh'],['David Cseh'],1301980,game,$0.00,0,0,Coming Soon,"['Adventure', 'Casual', 'Indie']",,['windows']
Electro Ride Prologue,['Sylwester Osik'],"['Garage 5', 'Kurki.games']",1301990,game,$0.00,139,56,"May 30, 2020","['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports', 'Free To Play']","Racing, Action, Casual, Indie, Sports, Simulation, Free to Play, Singleplayer, Retro, Multiplayer, Atmospheric, Colorful, Relaxing, Funny, Family Friendly",['windows']
Infectious,['Ziggy Makes Games'],['Ziggy Makes Games'],1302000,game,$2.99,46,25,"Aug 20, 2020","['Action', 'Indie', 'Simulation']","Outbreak Sim, Survival Horror, Simulation, Science, Stealth, Runner, Realistic, Atmospheric, Arcade, Survival, Hand-drawn, Casual, Action, Point & Click, Replay Value, Clicker, Linear, Indie, 2D, Singleplayer",['windows']
Dig Fest,['ENC Games'],['ENC Games'],1302030,game,$0.00,0,0,Coming Soon,"['Action', 'Casual', 'Indie']",,"['windows', 'linux']"
Sweet F. Cake - Man's Club Package,['Texic'],['Bear in the Night Studio'],1302040,dlc,$3.99,0,0,"Jun 1, 2020","['Adventure', 'Casual', 'Indie']",,['windows']
Milky Way Prince – The Vampire Star,"['Eyeguys', 'Lorenzo Redaelli']",['Santa Ragione'],1302050,game,$14.99,406,111,"Aug 13, 2020","['Adventure', 'Indie']","Visual Novel, LGBTQ+, Story Rich, Anime, Indie, Psychological Horror, Singleplayer, Dating Sim, Cute, Soundtrack, Horror, Romance, Sexual Content, Adventure, Multiple Endings, Drama, Choices Matter, Hand-drawn, 2.5D, Narration","['windows', 'mac']"
The Zone,['Colossus Game Studio'],['Colossus Game Studio'],1302090,game,$3.99,7,3,"Jun 26, 2020","['Action', 'Adventure', 'Indie']","Action, Indie, Adventure, Third-Person Shooter, Survival, Aliens, Stealth, Comedy, Shooter, Funny, Parody , Memes, Open World, War, Battle Royale",['windows']
Milky Way Prince – The Vampire Star Demo,"['Eyeguys', 'Lorenzo Redaelli']",['Santa Ragione'],1302100,demo,$0.00,0,0,"Jun 16, 2020","['Adventure', 'Indie']",,"['windows', 'mac']"
Inertial Drift: Sunset Prologue,['Level 91 Entertainment'],['PQube'],1302110,game,$0.00,417,77,"Jun 23, 2020","['Racing', 'Free To Play']","Racing, Multiplayer, PvP, Arcade, Singleplayer, Free to Play, Casual, Driving, Sports, 3D, Split Screen, Stylized, Colorful, Beautiful, Futuristic, Physics, Indie, Controller",['windows']
Seed of Life Demo,['MadLight'],['Leonardo Interactive'],1302140,demo,$0.00,0,0,"Jun 16, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",,['windows']
Magicademia,['STEREO GAMES S.A.'],['STEREO GAMES S.A.'],1302150,game,$0.00,0,0,Coming Soon,"['Indie', 'Simulation', 'Strategy']",,['windows']
Ultimate Wall Defense Force,['Tomas Gomez'],['Tomas Gomez'],1302160,game,$14.99,7,2,"Sep 3, 2020","['Action', 'Indie']","VR, Action, Tower Defense, Shooter, Anime, Flight, Indie, FPS, Shoot 'Em Up, Sandbox, PvE, 3D, First-Person, FMV, Stylized, Superhero, Combat, Immersive, Destruction, Singleplayer",['windows']
Racing Juke,['Rabotiagi games'],['Rabotiagi games'],1302180,game,$1.99,21,9,"Jun 14, 2020","['Action', 'Racing', 'Simulation', 'Sports']","Racing, Action, Simulation, Sports, Indie, Arcade, Casual, Driving, Great Soundtrack, Funny, Atmospheric, Singleplayer, Cartoony, Colorful, Time Attack, Arena Shooter, Memes",['windows']
Pirates: Mystery of Skeleton Island,['Light Game Studio'],['Light Game Studio'],1302190,game,$0.00,0,0,Coming Soon,"['Adventure', 'Indie', 'RPG']",,"['windows', 'mac', 'linux']"
End of Panduora,['Panduora Studio.'],"['sonnkoubinn', 'Nonprover', '𝓓𝓻𝔂❆𝓘𝓬𝓮']",1302200,game,$8.99,1,1,"Jun 25, 2020","['Indie', 'Simulation', 'Strategy']","Strategy, Indie, Simulation, Anime, 3D Vision",['windows']
Apprehend;Girlfriend Soundtrack,['Yume Creations'],,1302210,music,$0.99,0,0,"Jun 16, 2020",[],,"['windows', 'mac', 'linux']"
The prisoner of the Night,['RMAL'],['RMAL'],1302220,game,$16.99,22,2,"Oct 1, 2021","['Adventure', 'Indie']","Action, Adventure, Indie, Platformer, Atmospheric, Horror, Puzzle-Platformer, Dark Fantasy, Dark, Philosophical, Difficult, Psychological, Precision Platformer, Side Scroller, Singleplayer, Surreal, Text-Based, Gore, Drama, Lore-Rich",['windows']
Dead Containment,['Grump Dog Games'],['Grump Dog Games'],1302230,game,$9.99,43,4,"Oct 21, 2022","['Action', 'Casual', 'Indie', 'Early Access']","Early Access, Action, On-Rails Shooter, Arcade, Zombies, Casual, Co-op Campaign, Online Co-Op, Co-op, Multiplayer, Score Attack, Indie, Singleplayer, First-Person, Shooter, FPS, 3D, Horror, Old School, PvE",['windows']
Labyrinthine,['Valko Game Studios'],['Valko Game Studios'],1302240,game,$9.99,13810,2418,"Aug 18, 2023","['Action', 'Adventure', 'Indie']","Horror, Online Co-Op, Puzzle, Co-op, Psychological Horror, Multiplayer, Procedural Generation, Supernatural, First-Person, Controller, Atmospheric, Character Customization, Action-Adventure, PvE, Co-op Campaign, Realistic, Team-Based, Action, Lovecraftian, Rogue-lite",['windows']
My Personal World,['Ali Kaan BAŞHAN'],['Ali Kaan BAŞHAN'],1301260,game,$0.99,1,0,"May 26, 2020","['Casual', 'Indie', 'Simulation']","Casual, Indie, Simulation, GameMaker, Management",['windows']
Think_ Demo,['MaxPI'],['MaxPI'],1301270,demo,$0.00,0,0,"May 15, 2020",[],,['windows']
Granny Kick Neighbor,['Fun Shooting Games 3D'],['Fun Shooting Games 3D'],1301290,game,$0.00,0,0,"Oct 5, 2024","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Free To Play', 'Early Access']",,['windows']
Gems of Fate: the Charmed King,['Start Warp'],['Start Warp'],1301310,game,$6.99,0,3,"May 14, 2020",['Casual'],"Match 3, Puzzle, Casual, Pixel Graphics, Magic, Medieval, Family Friendly, 2D, Relaxing, Turn-Based Combat, Fantasy, PvE, Logic, Mystery, Atmospheric, Adventure, Puzzle-Platformer, Cartoon, Retro, Singleplayer",['windows']
Super Blood Warriors,"['Nick Backus', 'Noah Backus']","['Nick Backus', 'Noah Backus']",1301340,game,$0.00,0,0,Coming Soon,"['Action', 'Casual', 'Indie', 'Early Access']",,['windows']
Pyro Fighters,['ondydev'],['ondydev'],1301370,game,$2.99,7,0,"May 15, 2020","['Action', 'Indie']","Action, Indie, Shoot 'Em Up, Platformer, Retro, Bullet Hell, Fast-Paced, Shooter, 2D, Difficult, 2D Platformer","['windows', 'mac']"
Rogue Planet,['Julien Mackay'],['Julien Mackay'],1301380,game,$1.99,4,1,"May 23, 2020","['Casual', 'Indie']","Indie, Casual, Relaxing, Space, Minimalist",['windows']
No Umbrellas Allowed,['Hoochoo Game Studios'],['Hoochoo Game Studios'],1301390,game,$19.99,1071,257,"Sep 3, 2021","['Indie', 'Simulation', 'Strategy']","Simulation, Indie, Strategy, Pixel Graphics, Choices Matter, Management, Singleplayer, Story Rich, Dystopian , 2D, Multiple Endings, Puzzle, Trading, Economy","['windows', 'mac']"
Solar Rogue,['Guillaume Bouvier'],['Ombarus Dev'],1301410,game,$14.99,6,0,"Dec 14, 2021","['Adventure', 'Indie', 'Strategy']","Rogue-like, Turn-Based Tactics, Sci-fi, Space, Perma Death, Top-Down, Turn-Based Strategy, Survival, Strategy, Traditional Roguelike, 2D, Procedural Generation, Tactical, Crafting, Retro, Grid-Based Movement, Singleplayer, Character Customization, Indie, Early Access","['windows', 'linux']"
Dragon Extinction VR,['Xefier Games Inc.'],['Xefier Games Inc.'],1301430,game,$19.99,16,11,"Apr 28, 2022","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']","VR, Action RPG, RPG, CRPG, Hack and Slash, Dungeon Crawler, Multiplayer, Co-op, Singleplayer, Fantasy, Indie, Procedural Generation, Swordplay, Dragons, Character Customization, Early Access, Action, Adventure, Action-Adventure, Crafting",['windows']
Dragon Extinction VR Demo,['Xefier Games Inc.'],['Xefier Games Inc.'],1301440,demo,$0.00,0,0,"Jun 16, 2021","['Action', 'Adventure', 'Indie', 'RPG']",,['windows']
Groove Catcher Demo,['Vizmoo LLC'],['Vizmoo LLC'],1301450,demo,$0.00,0,0,"Jun 10, 2020",['Indie'],,['windows']
Bishoujo Battle Hanafuda Koi-Koi,['Zoo Corporation'],['Zoo Corporation'],1301470,game,$5.99,26,11,"May 18, 2020",['Casual'],"Casual, Sexual Content, Card Game, Nudity, Anime, Competitive, Cute, Singleplayer, Action, Adventure, Sports, Arcade, Visual Novel, Card Battler, Turn-Based Tactics, Comedy, Funny, PvP, Female Protagonist, Multiplayer",['windows']
Bishoujo Battle Mahjong Solitaire,['Zoo Corporation'],['Zoo Corporation'],1301480,game,$2.99,27,14,"May 20, 2020",['Casual'],"Casual, Sexual Content, Nudity, Anime, Puzzle, Arcade, Cute",['windows']
Virus Buster - Gallery 18+,['GENIE'],['GENIE'],1301490,dlc,$0.99,0,0,"Apr 24, 2020",['Action'],,"['windows', 'mac']"
Quarry Simulator 2021,['Technologies&Simulators'],['Technologies&Simulators'],1301500,game,$9.99,0,2,"Dec 16, 2022","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Racing', 'Simulation', 'Sports', 'Strategy']","Strategy, Mining, Resource Management, Simulation, Indie, Adventure, Sports, Massively Multiplayer, Real Time Tactics, 3D, VR, Top-Down, Realistic, Economy, Action, Building, Base-Building, Physics, Automobile Sim, Driving","['windows', 'mac', 'linux']"
Wrestledunk Sports,['Team Fractal Alligator'],['Team Fractal Alligator'],1301520,game,$12.99,24,3,"Aug 20, 2021","['Action', 'Indie', 'Sports']","Sports, Indie, Action, PvP, Multiplayer, Local Co-Op, Online Co-Op, 4 Player Local, Local Multiplayer, Co-op, Family Friendly","['windows', 'mac', 'linux']"
West of Dead: Soundtrack,['Upstream Arcade'],['Raw Fury'],1301540,music,$5.99,0,0,"Jun 18, 2020",[],,['windows']
Space Roaming,['Golden Dragon Studio'],['Golden Dragon Studio'],1301560,game,$9.99,6,2,"May 14, 2020","['Casual', 'Indie', 'Racing']","Indie, Casual, Racing, Space, Parkour",['windows']
Qube Qross,"['Poly Poly Games', 'Kibi Games']",['Poly Poly Games'],1301580,game,$5.99,12,8,"Dec 14, 2020","['Indie', 'Strategy']","Puzzle, Voxel, Minimalist, Indie, Level Editor, Logic, Building, God Game, Clicker, Colorful, Casual, Singleplayer, Puzzle-Platformer, Moddable, Relaxing, Education, Psychedelic, 3D Platformer, Surreal, Pixel Graphics","['windows', 'mac']"
Beyond Mankind: The Awakening,['Brytenwalda'],['Brytenwalda'],1301590,game,$19.99,49,57,"Aug 31, 2021","['Action', 'Adventure', 'Indie', 'RPG']","Post-apocalyptic, Exploration, RPG, Story Rich, Shooter, Action RPG, First-Person, Character Customization, Atmospheric, Sci-fi, Military, FPS, Choices Matter, Action, War, Survival, Singleplayer, Soundtrack, Inventory Management, Adventure","['windows', 'linux']"
Cross Princess,['双叶小组'],"['双叶小组', 'NVLMaker']",1301620,game,$2.99,880,37,"Sep 9, 2020","['Adventure', 'Casual', 'Indie']","Casual, Adventure, Visual Novel, Indie, Sexual Content, Dating Sim, Nudity, Cute, Singleplayer, 2D, Anime, Drama, Linear, Mature, LGBTQ+, Hentai",['windows']
Knight's Destiny,['Tech Dream'],['Tech Dream'],1301650,game,$9.99,1,0,"Jun 12, 2020","['Casual', 'Early Access']","Casual, Early Access, Platformer, Puzzle, Mystery, Adventure",['windows']
羊教授：归来,['ZooeyPanda'],['ZooeyPanda'],1301700,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",,['windows']
Decks & Dungeons,['Springloaded'],['Springloaded'],1301710,game,$0.00,0,0,Coming Soon,"['Adventure', 'Indie', 'RPG', 'Strategy']",,['windows']
Raid on the Zone,['Nikolaj Piet Pagh'],['PetskullGames'],1301730,game,$7.99,4,0,"Sep 11, 2020","['Action', 'Indie']","Flight, Shoot 'Em Up, Shooter, Military, Arcade, Top-Down Shooter, Top-Down, 2D Fighter, Destruction, 2D, War, Old School, Retro, Combat, Singleplayer, Gaming, Modern, Action, Cold War, 1980s",['windows']
Generation Zero® - FNIX Rising,['Systemic Reaction™'],['Avalanche Studios'],1301740,dlc,$7.99,0,0,"Jun 23, 2020","['Action', 'Adventure']",,['windows']
Dying Light - Hellraid,['Techland'],['Techland'],1300710,dlc,$9.99,0,0,"Aug 13, 2020","['Action', 'RPG']",,"['windows', 'mac', 'linux']"
Black Noir,['Frozen Rose'],['Frozen Rose'],1300720,game,$0.00,0,0,Coming Soon,"['Adventure', 'Indie']",,['windows']
Fluvstruck,['Saber Studios'],['Saber Studios'],1300760,game,$0.00,0,0,Coming Soon,['Simulation'],,['windows']
Railroad Corporation - Civil War,['Corbie Games'],['Iceberg Interactive'],1300770,dlc,$14.99,0,0,"Jun 18, 2020","['Simulation', 'Strategy']",,['windows']
Dayscream,['Bernhard Potuzak'],['Bernhard Potuzak'],1300790,game,$0.00,4,7,"Oct 13, 2020","['Action', 'Indie', 'Early Access']","Horror, FPS, Survival Horror, Action-Adventure, First-Person, Post-apocalyptic, Psychological Horror, Surreal, Action, Adventure, Dark, Retro, Singleplayer, Early Access, Indie, Nudity","['windows', 'linux']"
SpaceCrooks: The End of Time,"['Colin EUMP', 'Foxwarrior Productions']",['Foxwarrior Productions'],1300840,game,$0.00,0,0,Coming Soon,"['Action', 'Indie']",,['windows']
112 Operator - Masks - CHARITY DLC,['Jutsu Games'],['Games Operators'],1300850,dlc,$1.49,0,0,"May 2, 2020","['Indie', 'Simulation', 'Strategy']",,"['windows', 'mac']"
112 Operator - Facilities,['Jutsu Games'],['Games Operators'],1300851,dlc,$0.99,0,0,"Sep 17, 2020","['Indie', 'Simulation', 'Strategy']",,"['windows', 'mac']"
Strawberry Chocolate: Miner 8AD 4SS,['Critoniuum'],['Dd Games'],1300860,game,$4.99,3,1,"Aug 27, 2021","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","Action, Adventure, Casual, Indie, RPG, RPGMaker, Action-Adventure, Arcade, Comedy, Retro, Female Protagonist, Singleplayer, Cute, Crafting, Space, Resource Management, Action RPG, 1990's, Exploration, Survival",['windows']
Albert's Journey Demo,['Bite My Pixel'],['Bite My Pixel'],1300870,demo,$0.00,0,0,"Jun 15, 2020","['Adventure', 'Casual', 'Free To Play', 'Indie']",,"['windows', 'mac']"
Glitchphobia,['Apply Damage'],['Apply Damage'],1300880,game,$0.00,0,0,Coming Soon,"['Adventure', 'Indie']",,['windows']
Tap-A-Zombie,['Electronauts'],['Electronauts'],1300890,game,$1.99,2,1,"May 12, 2020","['Casual', 'Indie']","Casual, Indie, Gore, Zombies, Dark Humor, Puzzle","['windows', 'mac']"
Fourzy,['MindIsle Games'],['MindIsle Games'],1300900,game,$0.00,0,0,Coming Soon,"['Indie', 'Strategy']",,['windows']
You Must Mop,['Team Mop'],['Team Mop'],1300910,game,$3.99,9,2,"Oct 14, 2024","['Casual', 'Indie']","Casual, Arcade, Cute, 2D, Top-Down, Linear, Pixel Graphics, Hand-drawn, Cartoon, Cartoony, Funny, Narration, Family Friendly, Emotional, Real Time Tactics, LGBTQ+, Romance, Controller, Colorful, Modern","['windows', 'mac']"
Ghost of Dragon,['Meta Interaction'],['Meta Interaction'],1300920,game,$19.99,330,467,"Oct 26, 2022","['Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']","RPG, Indie, Adventure, Simulation, Early Access, Idler, Hack and Slash, Loot",['windows']
Snowballer Demo,['Church of Bolloxology'],['Church of Bolloxology'],1300930,demo,$0.00,0,0,"Jun 16, 2020","['Action', 'Racing', 'Simulation']",,['windows']
CoronaWhomp!,['simplevfx'],['simplevfx'],1300940,game,$0.00,9,4,"Jun 18, 2020","['Casual', 'Indie']","Casual, Indie, Arcade, 3D, Top-Down, Surreal, Sci-fi, Linear, Singleplayer, Real-Time, Short, Top-Down Shooter, Free to Play","['windows', 'mac']"
Tiki Tiki: The Tropical Memory Game,['Cosmic Works Studios'],['Cosmic Works Studios'],1300950,game,$1.99,12,0,"Aug 28, 2020","['Action', 'Casual', 'Indie']","Solitaire, Puzzle-Platformer, Match 3, Clicker, Education, Puzzle, Point & Click, Tabletop, Arcade, 3D, Comic Book, Cute, Relaxing, Funny, Linear, Casual, Minimalist, Cartoony, Stylized, Colorful","['windows', 'mac', 'linux']"
